id,label,class,pagerank
251,朱子柳,杨过,1.2923
252,无色,杨过,1.2881
253,梁子翁,郭靖,1.286
254,沐剑声,韦小宝,1.2791
255,徐长老,段誉,1.2773
256,温方达,袁承志,1.2738
257,杨铁心,郭靖,1.267
258,皇太后,韦小宝,1.247
259,华筝,郭靖,1.2406
260,童兆和,陈家洛,1.2366
261,执法长老,张无忌,1.2348
262,樊纲,韦小宝,1.232
263,兆惠,陈家洛,1.2297
264,丹青生,令狐冲,1.2179
265,桑结,韦小宝,1.2141
266,陈圆圆,韦小宝,1.2129
267,武三通,杨过,1.2127
268,何红药,袁承志,1.208
269,尼摩星,杨过,1.2064
270,苗若兰,胡斐,1.2018
271,刘一舟,韦小宝,1.2015
272,车尔库,苏普,1.2009
273,车夫,韦小宝,1.195
274,萧中慧,卓天雄,1.1933
275,多隆,韦小宝,1.1927
276,穆念慈,郭靖,1.1901
277,公孙止,杨过,1.1896
278,安健刚,陈家洛,1.1832
279,王维扬,陈家洛,1.1816
280,柳大洪,韦小宝,1.1775
281,陈达海,苏普,1.1774
282,朱元璋,张无忌,1.1761
283,苏菲亚,韦小宝,1.1725
284,侯通海,郭靖,1.1652
285,白二,韦小宝,1.1652
286,郝大通,郭靖,1.1649
287,安大娘,袁承志,1.1624
288,裘千尺,杨过,1.1619
289,阮星竹,段誉,1.1555
290,武修文,杨过,1.1553
291,李岩,袁承志,1.1526
292,吴坎,狄云,1.1476
293,谭婆,段誉,1.1465
294,上官,令狐冲,1.1459
295,安提督,胡斐,1.1293
296,空性,张无忌,1.1273
297,全冠清,段誉,1.1125
298,秦红棉,段誉,1.1111
299,瑞大林,陈家洛,1.0953
300,温方山,袁承志,1.0943
301,陆冠英,郭靖,1.0921
302,谭公,段誉,1.0916
303,葛尔丹,韦小宝,1.0914
304,曾柔,韦小宝,1.0912
305,渡厄,张无忌,1.0805
306,丁敏君,张无忌,1.0768
307,鲁有脚,郭靖,1.0746
308,南希仁,郭靖,1.0706
309,徐达,张无忌,1.0671
310,范骅,段誉,1.0638
311,殷仲翔,胡斐,1.062
312,常赫志,陈家洛,1.0595
313,冲虚道长,令狐冲,1.058
314,耿万钟,石破天,1.0518
315,关明梅,陈家洛,1.0502
316,王道,郭靖,1.0486
317,王剑杰,胡斐,1.0467
318,卓天雄,卓天雄,1.0425
319,鹤笔翁,张无忌,1.0397
320,崔百泉,段誉,1.0352
321,殷野王,张无忌,1.0347
322,归钟,韦小宝,1.0328
323,安小慧,袁承志,1.0308
324,明珠,韦小宝,1.0273
325,计无施,令狐冲,1.0267
326,张康年,韦小宝,1.0239
327,温方义,袁承志,1.0235
328,上官云,令狐冲,1.0183
329,孙不二,郭靖,1.0134
330,袁士霄,陈家洛,1.0063
331,林玉龙,卓天雄,1.0062
332,不戒和尚,令狐冲,0.9924
333,任飞燕,卓天雄,0.9895
334,澄光,韦小宝,0.9829
335,秃笔翁,令狐冲,0.9799
336,常伯志,陈家洛,0.9794
337,传功长老,张无忌,0.9716
338,张朝唐,袁承志,0.9714
339,韩文冲,陈家洛,0.971
340,血刀老祖,狄云,0.962
341,刘培生,袁承志,0.961
342,汪铁鹗,胡斐,0.9561
343,瘦头陀,韦小宝,0.9546
344,黄钟公,令狐冲,0.9544
345,薛慕华,段誉,0.9544
346,皇太极,袁承志,0.9538
347,行痴,韦小宝,0.9535
348,朱安国,袁承志,0.9528
349,顾炎武,韦小宝,0.951
350,曹化淳,袁承志,0.9495
351,玄寂,段誉,0.946
352,陈禹,胡斐,0.9459
353,苏荃,韦小宝,0.9441
354,陶子安,曹云奇,0.9404
355,关安基,韦小宝,0.9396
356,建宁公主,韦小宝,0.9396
357,单正,段誉,0.9394
358,方生,令狐冲,0.9377
359,史火龙,张无忌,0.934
360,忽必烈,杨过,0.9334
361,童子,郭靖,0.9313
362,郑萼,令狐冲,0.9297
363,石万嗔,胡斐,0.9237
364,袁冠南,卓天雄,0.9198
365,费彬,令狐冲,0.9173
366,赵齐贤,韦小宝,0.9164
367,澄观,韦小宝,0.9141
368,达尔巴,杨过,0.9089
369,班淑娴,张无忌,0.9024
370,店伴,胡斐,0.9018
371,林兴珠,韦小宝,0.8988
372,成璜,陈家洛,0.8981
373,明月,张无忌,0.8946
374,本因,段誉,0.8926
375,苏冈,韦小宝,0.8885
376,范一飞,石破天,0.8875
377,农夫,郭靖,0.8844
378,褚万里,段誉,0.8765
379,海兰弼,胡斐,0.8747
380,吕七,袁承志,0.8726
381,桑昆,郭靖,0.8721
382,花万紫,石破天,0.87
383,司马林,段誉,0.8695
384,白世镜,段誉,0.8637
385,薛鹊,胡斐,0.8628
386,马超兴,韦小宝,0.8625
387,言伯乾,陈家洛,0.8607
388,慕容景岳,胡斐,0.8606
389,康广陵,段誉,0.8592
390,孟伯飞,袁承志,0.8583
391,玉真子,袁承志,0.8543
392,田青文,曹云奇,0.8502
393,觉远,杨过,0.8485
394,武敦儒,杨过,0.8484
395,张阿生,郭靖,0.8419
396,高三娘子,石破天,0.8411
397,朱九真,张无忌,0.8393
398,风清扬,令狐冲,0.8362
399,渡劫,张无忌,0.8348
400,玉林,韦小宝,0.8319
401,司空玄,段誉,0.8243
402,洞玄,袁承志,0.8233
403,戚长发,狄云,0.8224
404,王元霸,令狐冲,0.8208
405,王罕,郭靖,0.8195
406,倪浩,袁承志,0.8191
407,陶百岁,曹云奇,0.8184
408,杨溢之,韦小宝,0.8165
409,绿竹翁,令狐冲,0.816
410,朱长龄,张无忌,0.8152
411,杨鹏举,袁承志,0.8125
412,曲洋,令狐冲,0.8082
413,言达平,狄云,0.8032
414,封万里,石破天,0.8012
415,游迅,令狐冲,0.8001
416,张勇,韦小宝,0.7994
417,阎基,胡斐,0.7994
418,简捷,张无忌,0.798
419,西华子,张无忌,0.7956
420,冯难敌,袁承志,0.792
421,郑起云,袁承志,0.7874
422,灵智上人,郭靖,0.7868
423,韩林儿,张无忌,0.7857
424,札木合,郭靖,0.7857
425,定静师太,令狐冲,0.7822
426,完颜萍,杨过,0.7816
427,渡难,张无忌,0.7815
428,刘元鹤,陶子安,0.7779
